activity,samples,sensitivity,specificity,overall_accuracy
jump,385,0.9948051948051948,0.9423728813559322,0.9582677165354331
stand,275,0.9963636363636363,0.7728643216080402,0.8212598425196851
still,336,1.0,1.0,1.0
walking,274,0.0,1.0,0.784251968503937
